text,sentiment,language
"the product works as described, nothing more and nothing less. 🤷",neutral,en
المقال سيئ ويعاني من مشكلات واضحة. @الشركة 😠,negative,ar_fusha
الخدمة المتعلقة بـ التحديث لم تكن بالمستوى المطلوب. 💔,negative,ar_fusha
the news is frustrating and poorly designed. #waste,negative,en
Just tried the delivery. terrible experience.,negative,en
IMO the restaurant is perfect.. 😄 ...,positive,en
the university course wasted my time and money. !!!,negative,en
للأسف التطبيق مؤذي 😤 المتجر الإلكتروني لم يقدم قيمة مقابل ما دُفع فيه. خدمة العملاء سيئ ويعاني من مشكلات واضحة. بصراحة، الفندق كان مزعج. بشكل عام، هذا ملخص تجربتي. 🙄,negative,ar_fusha
لا أحب الهاتف بسبب كثرة المشكلات. رأيي الشخصي: الفندق غير جيد حتى الآن. لم تعجبني تجربة الخبر، وكانت مخيبة للآمال. المقرر الجامعي لم يقدم قيمة مقابل ما دُفع فيه. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
"ngl, the laptop is fine right now. the movie is neither excellent nor terrible for me. tbh the delivery is mixed. Hot take: the online store is okay. Overall, that was my experience.",neutral,en
الخدمة المتعلقة بـ الفندق لم تكن بالمستوى المطلوب. توقعاتي كانت أعلى، لكن المطعم لم يلبِّها. تحديث سريع: المطعم غير جيد. المطعم سيئ ويعاني من مشكلات واضحة. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
"So happy with the article 😊 Hot take: the laptop is great. I genuinely really liked the hotel; it exceeded my expectations. Overall, that was my experience.",positive,en
the laptop is frustrating and poorly designed.,negative,en
"I expected better, but the restaurant failed in basic ways.",negative,en
رأيي الشخصي: المقرر الجامعي عادي حتى الآن.,neutral,ar_fusha
بحس المطعم رائع وخلصت من وجعة الراس. عنجد التوصيل كتير حلو وريحني. بالنهاية، هيك كانت تجربتي.,positive,ar_shami
I hate how the university course keeps breaking.,negative,en
خدمة العملاء يعمل بشكل مقبول وفقًا للوصف. الاشتراك يعمل بشكل مقبول وفقًا للوصف. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
الهاتف متميز ويقدم قيمة واضحة. #تجربه_رائعه,positive,ar_fusha
the news is annoying and poorly designed. #disappointed,negative,en
"Terrible experience with the update. Not worth it. the restaurant is frustrating and poorly designed. the hotel is frustrating and poorly designed. Overall, that was my experience.",negative,en
ملاحظة: استخدمت المنتج هذا الأسبوع.,neutral,ar_fusha
"I hate how the customer support keeps breaking. Just tried the customer support. awful experience. Overall, that was my experience. #fail",negative,en
This is so bad.. the news 😤 😤,negative,en
بس للتوضيح: استخدمت الابليكيشن هالأسبوع. #ملاحظه,neutral,ar_shami
tbh the article is amazing. #happy,positive,en
الموبايل مو منيح أبدًا وبيضيع الوقت.,negative,ar_shami
"the service is awesome, smooth, and surprisingly reliable. #happy",positive,en
عم جرّب الموبايل هالأيام، لسا عم قيّم. هلق جرّبت المنتج… نص نص. لسا ما قررت شو رأيي بـ الفيلم. هلق جرّبت التوصيل… بيمشي الحال. بالنهاية، هيك كانت تجربتي. 😶 !!,neutral,ar_shami
"the university course is awesome, smooth, and surprisingly reliable. This is exactly what I needed. the restaurant is fantastic. Overall, that was my experience.",positive,en
أحببت الخدمة، وقد فاق توقعاتي. 😁,positive,ar_fusha
"Hot take: the customer support is amazing. I genuinely loved the hotel; it exceeded my expectations. I love the article. It just works. Overall, that was my experience.",positive,en
شو هالحكي! الدعم عادي. شو هالحكي! الخبر بيمشي الحال. جربت التوصيل اليوم، الوضع متوسط. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
بس للتوضيح: استخدمت الفندق هالأسبوع. #ملاحظه 😶,neutral,ar_shami
أداء الفندق قوي وثابت بشكل ملحوظ.,positive,ar_fusha
توقعاتي كانت أعلى، لكن التحديث لم يلبِّها. الخدمة المتعلقة بـ المقرر الجامعي لم تكن بالمستوى المطلوب. لم تعجبني تجربة المطعم، وكانت مخيبة للآمال. رأيي الشخصي: المطعم مخيب حتى الآن. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
يعني بصراحة الدعم حلو. #تجربه_رائعه,positive,ar_shami
هلق جرّبت المادة… مو كويس. 💔,negative,ar_shami
هيك يعني الابديت بيمشي الحال. بس للتوضيح: استخدمت اللابتوب هالأسبوع. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
أعجبني الخبر كثيرًا، وكان الأداء ممتازًا. ✨,positive,ar_fusha
المقال رائع بصراحة وبيستاهل. @الشركة,positive,ar_shami
المطعم مزعج ومش عملي 😤,negative,ar_shami
I love the movie. It just works. @brand,positive,en
This is exactly what I needed. the product is fantastic. @brand ✨,positive,en
I regret trying the update; it was disappointing. #neveragain,negative,en
يعني بصراحة الفيلم حلو. #ممتاز 🔥,positive,ar_shami
شو هالحكي! الخبر جدا كويس. هاد اللابتوب كويس كتير! هلق جرّبت اللابتوب… جدا كويس. هاد الخدمة منيح كتير! بالنهاية، هيك كانت تجربتي.,positive,ar_shami
هيك يعني الخدمة بيمشي الحال. هيك يعني الدعم بيمشي الحال. بالنهاية، هيك كانت تجربتي. #رأي,neutral,ar_shami
جربت المقرر الجامعي اليوم وكانت النتائج متوسطة. الخدمة يعمل بشكل مقبول وفقًا للوصف. رأيي الشخصي: المنتج متوسط حتى الآن. بشكل عام، هذا ملخص تجربتي. 🤷,neutral,ar_fusha
للأسف خدمة العملاء مزعج 😤,negative,ar_fusha
هلق جرّبت المطعم… بيمشي الحال. ؟؟,neutral,ar_shami
الفيلم عادي، لا هو خارق ولا سيّئ. بس للتوضيح: استخدمت الخبر هالأسبوع. عنجد المادة بيمشي الحال. بالنهاية، هيك كانت تجربتي. @الدعم,neutral,ar_shami
لا أحب المطعم بسبب كثرة المشكلات. #لا_انصح 😞,negative,ar_fusha
ملاحظة: استخدمت التوصيل هذا الأسبوع.,neutral,ar_fusha
I have mixed feelings about the customer support; it depends on what you need. #update,neutral,en
بصراحة، التوصيل كان مقبول. https://t.co/xyz 😐,neutral,ar_fusha
the university course is annoying and poorly designed.,negative,en
IMO the university course is solid..,positive,en
"ngl, the online store is decent right now. !",neutral,en
الخدمة المتعلقة بـ الخدمة لم تكن بالمستوى المطلوب. رأيي الشخصي: خدمة العملاء غير جيد حتى الآن. الحاسوب المحمول سيئ ويعاني من مشكلات واضحة. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
رأيي الشخصي: التوصيل غير جيد حتى الآن. https://t.co/xyz 💔,negative,ar_fusha
شو هالحكي! الابديت بخزي. #سيئ,negative,ar_shami
الفيلم مزعج ومش عملي 😤,negative,ar_shami
تجربتي مع المقال كانت تمام، مبسوط.,positive,ar_shami
"ngl, the service is amazing right now. #worthit ...",positive,en
الخدمة لم يقدم قيمة مقابل ما دُفع فيه.,negative,ar_fusha
بشكل عام الفندق عادي ولا يختلف كثيرًا. بشكل عام الخدمة عادي ولا يختلف كثيرًا. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
بصراحة، التحديث كان ممتاز.,positive,ar_fusha
عنجد الابليكيشن كتير حلو وريحني. ✨ !,positive,ar_shami
بس للتوضيح: استخدمت المقال هالأسبوع. #رأي,neutral,ar_shami
بصراحة، خدمة العملاء كان رائع. بصراحة الهاتف ممتاز 😊 بصراحة، الهاتف كان رائع. بشكل عام، هذا ملخص تجربتي.,positive,ar_fusha
I genuinely loved the update; it exceeded my expectations. #10of10 @support 😍,positive,en
"Hot take: the service is solid. Very impressed by the university course; the quality is top-notch. So happy with the subscription 😊 Overall, that was my experience. #worthit 😄",positive,en
"Honestly, great experience with the laptop. Would recommend.",positive,en
"I expected better, but the restaurant failed in basic ways. @brand https://t.co/xyz",negative,en
تجربتي مع المقرر الجامعي كانت رائعة ومريحة. بصراحة، الخدمة كان رائع. بشكل عام، هذا ملخص تجربتي. 😄,positive,ar_fusha
Hot take: the university course is frustrating. #waste 😤,negative,en
لا أحب الفيلم بسبب كثرة المشكلات. 💔,negative,ar_fusha
رأيي الشخصي: الخدمة سيئ حتى الآن.,negative,ar_fusha
