text,sentiment,language
شاهد - آخر كلام: منير فخري عبدالنور - وزير السياحية في حكومة تصريف الأعمال,neutral,ar_fusha
"انت اساحبي وهتفضل اسحبي ""المجد للأغيار""",neutral,ar_fusha
العرس ما ريدتوة ولا المكان حبيتوة بس الحليب هطأ بنهودي و ان يسألوكم مين أبوة قولو دة خدها غضب #دينا_الوديدي #مريم_صالح :)),negative,ar_fusha
* سعودي يستهبل على ذيب شوفوا وش صار له ~☺ !! ياشيييين الهيااااااااط بسسس ☻ #فيديو,neutral,ar_fusha
إيه ده #طارق_سويدان بيتكلم زى #البرادعى العلمانى الكافر الزنديق أولا يتدبر أولى الألباب !!,neutral,ar_fusha
#هتحبك_لو احترمتها فى وجودها او غيابها ;),positive,ar_fusha
سيطرة البلطجية المسلحين على الشوارع ليلا قتلوا ملتحيا أمس فى جسر السويس كارثة أمنية غير مسبوقة,negative,ar_fusha
"#عمرو ياتكتب تويتة محترمة يا متكتبش و تريح نفسك""",neutral,ar_fusha
مسيرات ومظاهرات فى كل أنحاء مصر الانقلاب لا يعبأ بالرفض الشعبي واعلام العار يحرضه على قتل وقمع شعبه لا أحد يهزم الشعب,negative,ar_fusha
وهذا هو الجزء الثاني من مناقشة كتاب خروج المصريين على الخلفاء والسلاطين لمن لايعرفون شيئا عن كفاح آبائهم وأجدادهم,negative,ar_fusha
اتمني لكل المدن التي تنتخب اﻵن ان تختار الرجل المناسب #ليبيا بنغازي #القبة #المرج,neutral,ar_fusha
و انت طيب يا شاعر يا رائع,positive,ar_fusha
هو ممكن ت #نزل_صلاح :( #ليلة_الابطال,negative,ar_fusha
"هذه هي الأيام التي تجعلك تبدأ في التفكير بجدية فيما قاله نيتشه ""عندما تحارب الوحوش إحذر ألا تتحول إلى وحش""اللهم لا تفقدنا إنسانيتنا أبدا",negative,ar_fusha
ربنا وعدني اليومين دول بالعيال بتوع الاخوان #السادة_المحترمون,neutral,ar_fusha
"تذكروا اليوم أن من كان الرب معه فمن عليه توكلنا عليك يا رب الكل رب العدل يا ربانت من قلت "" مبارك شعب مصر """,neutral,ar_fusha
""": النِعمة تحتاج للشكر،، وَالبَلاء يحتاج للصبر،، وَالذنَب يَحتاجُ للإستغفار،، (فمْن شكرَ و صَبر وَ اسْتغفَر نَال #السعادة) 50""",positive,ar_fusha
ابوالفتوح: سأكمل السباق الى النهاية خدمة لهذا الوطن ولن اتراجع الا اذا شعرت ان الاستمرار يتعارض مع خدمة وطنى,neutral,ar_fusha
غزَّة إنتهى صوتها وهي تصّرخ، والجميع في / سُبات مميت !! #غزة_تحت_القصف,negative,ar_fusha
الابراشى ينتخب الشيطان لو نافس الاخوان وينتخبه لو دخل ضد الرسول الشيطان لازم ينتخب الى زيه,negative,ar_fusha
